name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,url,create_time,lat,lng,naver_place_id
낙산공원,B1,근린공원,4.26,0,서울,종로구,낙산길,41,jongno,02-743-7985,https://pcmap.place.naver.com/place/13299765/home?entry=bmp&from=map&fromPanelNum=2&x=127.00758700000002&y=37.580477&timestamp=202309071804,2023-09-07 18:04:09,127.0065352,37.5806001,13299765
종묘광장공원,B1,광장,정보 없음,88,서울,종로구,종로,157 종묘공원,jongno,02-731-0575,https://pcmap.place.naver.com/place/19707663/home?entry=bmp&from=map&fromPanelNum=2&x=126.99504469999665&y=37.5713096999982&timestamp=202309071804,2023-09-07 18:04:09,126.9948845,37.5731360,19707663
마로니에공원,B1,근린공원,4.31,0,서울,종로구,대학로,104,jongno,02-2148-4158,https://pcmap.place.naver.com/place/11622409/home?entry=bmp&from=map&fromPanelNum=2&x=127.002788600168&y=37.5802294996524&timestamp=202309071804,2023-09-07 18:04:09,127.0024005,37.5803661,11622409
흥인지문공원,B1,근린공원,정보 없음,636,서울,종로구,종로6가,70,jongno,정보 없음,https://pcmap.place.naver.com/place/18675418/home?entry=bmp&from=map&fromPanelNum=2&x=127.00891420030199&y=37.5724677997293&timestamp=202309071804,2023-09-07 18:04:09,127.0088785,37.5723240,18675418
탑골공원,B1,근린공원,정보 없음,182,서울,종로구,종로,99 탑골공원,jongno,정보 없음,https://pcmap.place.naver.com/place/1633146093/home?entry=bmp&from=map&fromPanelNum=2&x=126.98833582827399&y=37.5710899920383&timestamp=202309071804,2023-09-07 18:04:09,126.9880587,37.5706125,1633146093
동대문역사문화공원,B1,"도시,테마공원",4.27,695,서울,중구,신당동,853,jongno,02-2266-7188,https://pcmap.place.naver.com/place/13504649/home?entry=bmp&from=map&fromPanelNum=2&x=127.011184699736&y=37.567451299635&timestamp=202309071805,2023-09-07 18:04:09,127.0113959,37.5673080,13504649
정동공원,B1,근린공원,정보 없음,99,서울,중구,정동길,21-18 정동공원,jongno,정보 없음,https://pcmap.place.naver.com/place/18710329/home?entry=bmp&from=map&fromPanelNum=2&x=126.971649300002&y=37.5676711999975&timestamp=202309071805,2023-09-07 18:04:09,126.9713797,37.5677380,18710329
훈련원공원,B1,"도시,테마공원",정보 없음,96,서울,중구,을지로,227 훈련원공원,jongno,02-2268-5810,https://pcmap.place.naver.com/place/13447304/home?entry=bmp&from=map&fromPanelNum=2&x=127.00381879962302&y=37.56752450020811&timestamp=202309071805,2023-09-07 18:04:09,127.0038188,37.5675245,13447304
숭인근린공원,B1,근린공원,정보 없음,74,서울,종로구,숭인동,58-149,jongno,02-2148-4152,https://pcmap.place.naver.com/place/13452523/home?entry=bmp&from=map&fromPanelNum=2&x=127.017826700368&y=37.576441900094665&timestamp=202309071805,2023-09-07 18:04:09,127.0178083,37.5763492,13452523
동묘공원,B1,근린공원,정보 없음,92,서울,종로구,난계로27길,84,jongno,정보 없음,https://pcmap.place.naver.com/place/18682593/home?entry=bmp&from=map&fromPanelNum=2&x=127.018213899678&y=37.5731265998449&timestamp=202309071805,2023-09-07 18:04:09,127.0184433,37.5728160,18682593
