name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,url,create_time,lat,lng,naver_place_id
스카이캣카페 명동 1호점,C3,고양이카페,4.31,166,서울,중구,명동4길,2 4층,jongno,0507-1318-7647,https://pcmap.place.naver.com/place/1926302551/home?entry=bmp&from=map&fromPanelNum=2&x=126.9834517&y=37.5634558&timestamp=202309071826,2023-09-07 18:26:25,126.9834517,37.5634558,1926302551
고양이놀이터 명동점,C3,고양이카페,4.62,725,서울,중구,명동8길,37-14 3층,jongno,02-3789-2207,https://pcmap.place.naver.com/place/21617309/home?entry=bmp&from=map&fromPanelNum=2&x=126.9855013&y=37.5619846&timestamp=202309071826,2023-09-07 18:26:25,126.9855013,37.5619846,21617309
스카이캣카페 명동 2호점,C3,고양이카페,정보 없음,9,서울,중구,명동8나길,2 4층,jongno,0507-1303-7646,https://pcmap.place.naver.com/place/1439690663/home?entry=bmp&from=map&fromPanelNum=2&x=126.9848447&y=37.5616257&timestamp=202309071826,2023-09-07 18:26:25,126.9848447,37.5616257,1439690663
