name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,create_time
스매싱볼 종로점,D2,볼링장,4.01,292,서울,종로구,종로,78 지하1층,jongno,02-723-2231,2023-08-15 13:17:30
제이앤제이볼링센터,D2,볼링장,4.01,292,서울,종로구,종로12길,15 4층,jongno,02-723-0923,2023-08-15 13:17:30
나인티나인,D2,볼링장,4.43,387,서울,종로구,대학로,144 4층 나인티나인,jongno,02-744-9994,2023-08-15 13:17:30
볼링볼링,D2,볼링장,4.19,257,서울,중구,청계천로,400 롯데캐슬베네치아 메가몰동 지하1층,jongno,0507-1320-6606,2023-08-15 13:17:30
어썸라운지볼24,D2,볼링장,4.48,865,서울,종로구,성균관로,12 유니지오,jongno,0507-1414-4543,2023-08-15 13:17:30
MONKEY볼링센터,D2,볼링장,4.14,86,서울,중구,장충단로,253 헬로우APM,jongno,02-6388-3456,2023-08-15 13:17:30
원서레인스,D2,볼링장,4.14,291,서울,종로구,창덕궁1길,13,jongno,02-742-0707,2023-08-15 13:17:30
청석개발,D2,볼링장,4.21,175,서울,종로구,창덕궁1길,13,jongno,02-742-5620,2023-08-15 13:17:30
굿모닝시티볼,D2,볼링장,4.21,175,서울,중구,장충단로,247 5층,jongno,02-2268-0924,2023-08-15 13:17:30
라운지볼,D2,볼링장,4.28,529,서울,종로구,성균관로,"12 (명륜2가, 유니지오) 지하1층",jongno,정보 없음,2023-08-15 13:17:30
코끼리볼링장,D2,볼링장,4.38,46,서울,중구,퇴계로,166 흥국빌딩 B1,jongno,02-2268-6074,2023-08-15 13:17:30
엘씨아이볼링장,D2,볼링장,4.48,262,서울,중구,퇴계로18길,14 프라자빌딩,jongno,02-771-2345,2023-08-15 13:17:30
