name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,url,create_time,lat,lng,naver_place_id
일도씨닭갈비 광화문점,A1,일도씨닭갈비,4.25,0,서울,중구,세종대로,136 지하 2층,jongno,02-3789-9007,https://pcmap.place.naver.com/restaurant/1132899071/home?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%8B%9D%EB%8B%B9&from=map&fromPanelNum=1&ts=1693142137771,2023-08-28 02:17:15,126.9782701,37.5684246,https:
야젠 1호점,A1,이자카야,4.25,0,서울,종로구,종로31길,10,jongno,0507-1400-1485,https://pcmap.place.naver.com/restaurant/37633182/home?entry=bmp&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%8B%9D%EB%8B%B9&from=map&fromPanelNum=1&ts=1693142139768,2023-08-28 02:17:15,127.0002356,37.5715954,https:
차알 광화문 디타워점,A1,중식당,4.4,0,서울,종로구,종로3길,17 D타워 리플레이스 광화문 3층,jongno,02-2251-8345,https://pcmap.place.naver.com/restaurant/37256672/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142141128,2023-08-28 02:17:15,126.9789694,37.5710184,https:
익선디미방,A1,양식,4.4,0,서울,종로구,수표로28길,17-27 익선디미방,jongno,0507-1400-3418,https://pcmap.place.naver.com/restaurant/1021505576/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142142869,2023-08-28 02:17:15,126.9894729,37.5735311,https:
육랩 종로점,A1,한식,4.46,0,서울,종로구,우정국로2길,42 3층 육랩,jongno,02-722-3145,https://pcmap.place.naver.com/restaurant/1450644151/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142144173,2023-08-28 02:17:15,126.9854047,37.5694331,https:
광화문미진,A1,한식,4.38,0,서울,종로구,종로,19,jongno,02-730-6198,https://pcmap.place.naver.com/restaurant/11680222/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142145183,2023-08-28 02:17:15,126.9798606,37.5708345,https:
익선잡방,A1,브런치,4.38,0,서울,종로구,수표로28길,17-21 익선잡방,jongno,0507-1313-3418,https://pcmap.place.naver.com/restaurant/1767890367/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142146803,2023-08-28 02:17:15,126.9894603,37.5733860,https:
우래옥,A1,냉면,4.46,0,서울,중구,창경궁로,62-29,jongno,02-2265-0151,https://pcmap.place.naver.com/restaurant/11679381/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142148253,2023-08-28 02:17:15,126.9987320,37.5682193,https:
스케줄오스테리아,A1,양식,4.37,0,서울,중구,남대문로,125 DGB 금융센터 2층 202호,jongno,0507-1456-0300,https://pcmap.place.naver.com/restaurant/1082121714/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142149734,2023-08-28 02:17:15,126.9823089,37.5683770,https:
순대실록 대학로본점,A1,"순대,순댓국",4.45,0,서울,종로구,동숭길,127 우성빌딩,jongno,0507-1407-5338,https://pcmap.place.naver.com/restaurant/20148711/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142151688,2023-08-28 02:17:15,127.0030756,37.5832958,https:
