name,type,star_rating,review_sum,address,contact
CGV 피카디리1958,영화관,4.37,정보 없음,서울 종로구 돈화문로5가길 1 피카디리플러스,1544-1122
CGV 동대문,영화관,4.37,정보 없음,서울 중구 장충단로13길 20 현대시티아울렛 10층,1544-1122
CGV 대학로,영화관,4.38,정보 없음,서울 종로구 대명길 28 대학로CGV,1544-1122
롯데시네마 에비뉴엘,영화관,4.35,정보 없음,서울 중구 남대문로 73 AVENUEL,1544-8855
씨네큐브광화문,영화관,4.37,정보 없음,서울 종로구 새문안로 68,02-2002-7776
메가박스 동대문,영화관,4.45,정보 없음,서울 중구 장충단로 247 굿모닝시티 쇼핑몰,1544-0070
서울아트시네마,영화관,4.37,정보 없음,서울 중구 정동길 3 경향아트힐 2층,02-741-9782
CGV 명동,영화관,4.39,381,서울 중구 명동길 14 Noon Square,1544-1122
청춘극장,영화관,4.38,정보 없음,서울 중구 새문안로 22 문화일보홀,02-739-5422
허리우드극장,영화관,4.07,81,서울 종로구 삼일대로 428,정보 없음
브로드웨이아트홀 2관,공연장,정보 없음,105,서울 종로구 대학로 132 형원빌딩,정보 없음
바다극장,영화관,정보 없음,0,서울 종로구 청계천로 187,정보 없음
명보아트시네마,영화관,정보 없음,39,서울 중구 마른내로 47 명보아트홀 6층,02-2273-5234
에무시네마,영화관,4.58,919,서울 종로구 경희궁1가길 7 복합문화공간 에무 2층,02-730-5604
서울노인복지센터디지털상영관,영화관,4.58,919,서울 종로구 삼일대로 467,정보 없음
하이퍼텍나다(폐관),영화관,4.42,31,서울 종로구 동숭길 122,정보 없음
CGV 명동역,영화관,4.42,31,서울 중구 퇴계로 123 하이해리엇,1544-1122
대한극장,영화관,4.38,정보 없음,서울 중구 퇴계로 212 대한극장,02-3393-3500
코리아극장,영화관,4.4,정보 없음,서울 중구 명동길 26,정보 없음
청계극장 매점,영화관,4.53,212,서울 종로구 종로50다길 20,02-764-4260
충무로영상센터 오재미동,영화관,정보 없음,57,서울 중구 퇴계로 214 충무로역사 지하1층,02-777-0421
오픈시네마,영화관,4.19,97,서울 중구 남대문시장길 25-8,02-752-3508
을지영화관,장소대여,4.19,97,서울 중구 을지로12길 5 동화빌딩 2층 203호,0507-1379-8680
복합문화공간 에무,복합문화공간,4.33,554,서울 종로구 경희궁1가길 7,02-730-5515
