create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 20:31:22,ikseondong,반기다,퓨전음식,4.53,정보 없음,서울 종로구 익선동 166-52,0507-1314-6511
2023-08-12 20:31:22,ikseondong,리장수 라운지,양식,4.53,정보 없음,서울 종로구 익선동 166-52,0507-1314-6511
2023-08-12 20:31:22,ikseondong,익선디미방,양식,4.46,정보 없음,서울 종로구 수표로28길 17-27 익선디미방,0507-1400-3418
2023-08-12 20:31:22,ikseondong,익선잡방,브런치,4.46,정보 없음,서울 종로구 수표로28길 17-27 익선디미방,0507-1400-3418
2023-08-12 20:31:22,ikseondong,간판없는가게,양식,4.47,정보 없음,서울 종로구 돈화문로11다길 36 1층 간판없는가게,0507-1427-1042
2023-08-12 20:31:22,ikseondong,온천집,샤브샤브,4.47,정보 없음,서울 종로구 돈화문로11다길 36 1층 간판없는가게,0507-1427-1042
2023-08-12 20:31:22,ikseondong,오죽이네,닭요리,4.49,정보 없음,서울 종로구 돈화문로11가길 25,02-741-8874
2023-08-12 20:31:22,ikseondong,호호식당 익선,일식당,4.49,정보 없음,서울 종로구 돈화문로11가길 25,02-741-8874
2023-08-12 20:31:22,ikseondong,달랭이,"곱창,막창,양",0.0,1150,서울 종로구 돈화문로11나길 16 1층,0507-1400-3379
2023-08-12 20:31:22,ikseondong,반기다,퓨전음식,4.53,정보 없음,서울 종로구 익선동 166-52,0507-1314-6511
