create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 22:46:46,jongno,미어캣파크,애견카페,4.13,565,"서울 종로구 대학로10길 12 , 6층",0507-1429-7201
2023-08-12 22:46:46,jongno,강아지대학로,애견카페,4.13,565,"서울 종로구 대학로10길 12 , 6층",0507-1429-7201
