name,address_si,address_gu,address_lo,address_detail,period_start,period_end,url,created_at,lat,lng,naver_place_id
"[덕수궁] 궁궐야행, 덕수궁",서울특별시,중구,세종대로,99 (정동),2018-03-17 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18003771,2023-09-07 16:58:30.703808+00:00,126.9737396,37.5658456,11571730
"[창경궁] 궁궐야행, 창경궁",서울특별시,종로구,와룡동,2-1,2019-01-25 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19000923,2023-09-07 16:58:31.472448+00:00,126.9950425,37.5805913,11571740
"[낙산공원] 낙산, 이화마을 야행",서울특별시,종로구,낙산길,41 (동숭동),2018-07-20 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18009373,2023-09-07 16:58:32.248629+00:00,127.0065352,37.5806001,13299765
[덕수궁] 덕수궁의 인문학산책,서울특별시,중구,세종대로,99 (정동),2018-09-01 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18011706,2023-09-07 16:58:33.063916+00:00,126.9737396,37.5658456,11571730
[광화문 투바앤웨이븐] 마리오폰테의 트웰브,서울특별시,종로구,경희궁1길,1(신문로2가) 1층,2023-02-11 00:00:00,2023-09-17 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23001775,2023-09-07 16:58:34.501204+00:00,126.9716254,37.5707169,1975808600
[예술의전당 한가람디자인미술관] 백희나 그림책전,서울특별시,서초구,서초동,700번지,2023-06-22 00:00:00,2023-10-08 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006033,2023-09-07 16:58:37.860124+00:00,127.0152560,37.4810908,11621559
[블루스퀘어] 북파크 라운지,서울특별시,용산구,이태원로,294 블루스퀘어(한남동),2019-12-03 00:00:00,2023-10-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19018168,2023-09-07 16:58:38.463839+00:00,127.0024870,37.5408621,20677258
[롯데백화점 김포공항점 1층 그랜드홀] 빅토리아 티렉스 (VICTORIA T-REX),서울특별시,강서구,하늘길,77 (방화동),2022-04-22 00:00:00,2023-09-30 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22004749,2023-09-07 16:58:39.147979+00:00,126.8012785,37.5623129,1543539508
"[미디어 아트 갤러리 언더독뮤지엄] 색色, 마음의 색을 찾아가는 여정",서울특별시,마포구,양화로12길,8-7(서교동) B1,2023-03-30 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23004771,2023-09-07 16:58:40.100299+00:00,126.9179608,37.5516715,1102883240
"[창덕궁 돈화문] 세계문화유산, 창덕궁",서울특별시,종로구,율곡로,99(와룡동) 돈화문,2021-02-05 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=21000481,2023-09-07 16:58:43.065437+00:00,126.9919376,37.5826041,12261493
[세종문화회관 미술관] 스니커즈 언박스드 서울,서울특별시,종로구,세종대로,175(세종로),2023-05-31 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23007289,2023-09-07 16:58:44.865042+00:00,126.9761683,37.5718479,11576170
[서울역사박물관] 안희선 가이드의 시간 여행 : 서울역사박물관 편,서울특별시,종로구,새문안로,55(신문로2가),2023-02-13 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23001791,2023-09-07 16:58:50.177255+00:00,126.9704375,37.5701434,11784657
[DDP 뮤지엄 전시1관] 알폰스무하 이모션 인 서울,서울특별시,중구,을지로7가,2-1,2023-07-22 00:00:00,2023-10-30 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009999,2023-09-07 16:58:51.034027+00:00,127.0097934,37.5669654,11796217
"[서촌 일대] 예술인의마을, 서촌",서울특별시,종로구,자하문로,22,2018-04-28 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18005878,2023-09-07 16:58:53.800922+00:00,126.9716338,37.5779686,1524007650
[덕수궁 돌담길] 정동 한바퀴,서울특별시,중구,세종대로,99 (정동),2018-07-07 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18009027,2023-09-07 16:58:56.362426+00:00,126.9737396,37.5658456,11571730
[코엑스 전관] 제22회 서울카페쇼 2023,서울특별시,강남구,영동대로,513 (삼성동) 무역센터 코엑스,2023-11-08 00:00:00,2023-11-11 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010910,2023-09-07 16:58:57.575543+00:00,127.0594275,37.5116621,11576171
[홍대 AK& 4층 네이처랩스] 진격의 거인전 FINAL in SEOUL,서울특별시,마포구,양화로,188(동교동) AK PLAZA 홍대점 4층,2023-07-15 00:00:00,2023-10-15 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009804,2023-09-07 16:58:58.377224+00:00,126.9267785,37.5574453,1426315717
[창경궁] 창경궁의 인문학산책(야간),서울특별시,종로구,와룡동,2-1,2019-01-04 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18018388,2023-09-07 16:58:59.101272+00:00,126.9950425,37.5805913,11571740
[창덕궁 돈화문] 창덕궁의 인문학산책,서울특별시,종로구,율곡로,99(와룡동) 돈화문,2018-07-02 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18008385,2023-09-07 16:58:59.942686+00:00,126.9919376,37.5826041,12261493
[JCC아트센터 콘서트홀] 최정주 아트앤뮤직 큐레이션,서울특별시,종로구,창경궁로35길,29 (혜화동) JCC아트센터,2023-09-14 00:00:00,2023-09-14 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009171,2023-09-07 16:59:00.683897+00:00,127.0019198,37.5872232,37534783
[포시즌스 호텔] 칸라이언즈x서울 2023,서울특별시,종로구,새문안로,97(당주동) 포시즌스 호텔,2023-09-20 00:00:00,2023-09-20 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23012092,2023-09-07 16:59:13.209043+00:00,126.9753951,37.5706979,36908458
[예술의전당 한가람미술관 3층] Let’s Play Art展,서울특별시,서초구,서초동,700번지,2023-07-24 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010066,2023-09-07 16:59:19.692990+00:00,127.0152560,37.4810908,13457651
