name,address_si,address_gu,address_lo,address_detail,period_start,period_end,url,created_at,lat,lng
(얼리버드 2차) Let’s Play Art展,서울,서초구,남부순환로325길,9 예술의전당 한가람미술관 3층,2023-07-22 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009011,2023-09-07 07:28:15.197149+00:00,127.0145245,37.4817400
(얼리버드 3차) Let’s Play Art展,서울,서초구,남부순환로325길,9 예술의전당 한가람미술관 3층,2023-07-22 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009606,2023-09-07 07:28:15.407490+00:00,127.0145245,37.4817400
［6월 2차 얼리버드!］진격의 거인전 FINAL in SEOUL,정보 없음,정보 없음,정보 없음,홍대 AK& 4층 네이처랩스,2023-07-15 00:00:00,2023-10-15 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006437,2023-09-07 07:28:15.515083+00:00,127.0145245,37.4817400
［7월 3차 얼리버드!］진격의 거인전 FINAL in SEOUL,정보 없음,정보 없음,정보 없음,홍대 AK& 4층 네이처랩스,2023-07-15 00:00:00,2023-10-15 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009139,2023-09-07 07:28:15.618240+00:00,127.0145245,37.4817400
［9월 예매］ 알폰스 무하: 더 골든 에이지,서울,중구,남대문로,73 그라운드시소 명동,2023-09-01 00:00:00,2023-09-30 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23012192,2023-09-07 07:28:15.832485+00:00,126.9817070,37.5641952
［9월예매］모네 인사이드,서울,중구,남대문로,73 그라운드시소 명동,2023-09-01 00:00:00,2023-09-30 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23012179,2023-09-07 07:28:16.043202+00:00,126.9817070,37.5641952
［9월할인］ 빛의 시어터 입장권,서울,광진구,워커힐로,177 빛의 시어터,2023-09-01 00:00:00,2023-09-30 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23012358,2023-09-07 07:28:16.247794+00:00,127.1107738,37.5551690
［굿바이할인］ 어린왕자 인 서울,서울,마포구,와우산로21길,20-11 띠아트 홍대,2023-08-05 00:00:00,2023-10-03 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010911,2023-09-07 07:28:16.430704+00:00,126.9226911,37.5528043
［굿바이할인］에곤실레와 클림트,서울,마포구,와우산로21길,20-11 띠아트 홍대,2023-05-05 00:00:00,2023-10-03 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23004409,2023-09-07 07:28:16.608593+00:00,126.9226911,37.5528043
"［북촌］2023년 9,10월-어둠속의대화(DIALOGUE IN THE DARK)",서울,종로구,북촌로,71 북촌 어둠속의대화,2010-01-20 00:00:00,2023-10-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22012604,2023-09-07 07:28:16.789114+00:00,126.9846863,37.5833273
