name,address_si,address_gu,address_lo,address_detail,period_start,period_end,url,created_at,lat,lng
(얼리버드 2차) Let’s Play Art展,서울,서초구,남부순환로325길,9 예술의전당 한가람미술관 3층,2023-07-22 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009011,2023-08-24 10:01:52.338515+00:00,127.0145245,37.4817400
(얼리버드 3차) Let’s Play Art展,서울,서초구,남부순환로325길,9 예술의전당 한가람미술관 3층,2023-07-22 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009606,2023-08-24 10:01:52.522845+00:00,127.0145245,37.4817400
［ 특가할인 ］ 어린왕자 인 서울,서울,마포구,와우산로21길,20-11 띠아트 홍대,2023-08-05 00:00:00,2023-10-01 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010911,2023-08-24 10:01:52.694706+00:00,126.9226911,37.5528043
［6월 2차 얼리버드!］진격의 거인전 FINAL in SEOUL,정보 없음,정보 없음,정보 없음,홍대 AK& 4층 네이처랩스,2023-07-15 00:00:00,2023-10-15 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006437,2023-08-24 10:01:52.805285+00:00,126.9226911,37.5528043
［7월 3차 얼리버드!］진격의 거인전 FINAL in SEOUL,정보 없음,정보 없음,정보 없음,홍대 AK& 4층 네이처랩스,2023-07-15 00:00:00,2023-10-15 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009139,2023-08-24 10:01:52.904559+00:00,126.9226911,37.5528043
［8월 회차］알폰스 무하: 더 골든 에이지,서울,중구,남대문로,73 그라운드시소 명동,2023-08-01 00:00:00,2023-08-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010409,2023-08-24 10:01:53.084592+00:00,126.9817070,37.5641952
［8월할인］ 빛의 시어터 입장권,서울,광진구,워커힐로,177 빛의 시어터,2023-08-01 00:00:00,2023-08-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010695,2023-08-24 10:01:53.282677+00:00,127.1107738,37.5551690
［남산］ 영재한음(국악)회,정보 없음,정보 없음,정보 없음,영재한음(국악)회,2023-07-18 00:00:00,2023-10-29 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y3000964,2023-08-24 10:01:53.369664+00:00,127.1107738,37.5551690
"［북촌］2023년 7,8월-어둠속의대화(DIALOGUE IN THE DARK)",서울,종로구,북촌로,71 북촌 어둠속의대화,2010-01-20 00:00:00,2023-08-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22012762,2023-08-24 10:01:53.537826+00:00,126.9846863,37.5833273
"［북촌］2023년 9,10월-어둠속의대화(DIALOGUE IN THE DARK)",서울,종로구,북촌로,71 북촌 어둠속의대화,2010-01-20 00:00:00,2023-10-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22012604,2023-08-24 10:01:53.691900+00:00,126.9846863,37.5833273
